day;hour;wind_dir;speed;temp;details;scenario;radiation;precip
03/01/2016;05h15;84;3.5;9.3;mesure;S1;0;0
03/01/2016;05h30;91;3.4;9.3;mesure;S1;0;0
03/01/2016;05h45;89;3.9;9;mesure;S1;0;0
03/01/2016;06h00;80;3.8;8.7;mesure;S1;0;0
03/01/2016;06h15;96;4;8.9;mesure;S1;0;0
03/01/2016;06h30;87;4.3;9;mesure;S1;0;0
03/01/2016;06h45;88;4.1;9.1;mesure;S1;0;0
03/01/2016;07h00;89;4.1;9.3;mesure;S1;0;0
03/01/2016;07h15;99;4.3;9.8;mesure;S1;0;0
03/01/2016;07h30;87;3.9;10;mesure;S1;0;0
03/01/2016;07h45;87;3.7;10.1;mesure;S1;4;0
03/01/2016;08h00;89;3.5;10;mesure;S1;11;0
03/01/2016;08h15;87;3.3;9.9;mesure;S1;19;0
03/01/2016;08h30;88;3.1;10;mesure;S1;48;0
03/01/2016;08h45;77;3.3;10.5;mesure;S1;85;0
03/01/2016;09h00;71;2.7;11.1;mesure;S1;110;0
03/01/2016;09h15;79;2.5;12;mesure;S1;154;0
03/01/2016;09h30;80;2.2;12.8;mesure;S1;247;0
03/01/2016;09h45;102;2.3;13.7;mesure;S1;202;0
03/01/2016;10h00;93;2.8;14.2;mesure;S1;287;0
03/01/2016;10h15;79;2.3;15.7;mesure;S1;320;0
03/01/2016;10h30;90;2.2;17.1;mesure;S1;348;0
03/01/2016;10h45;79;2;18.1;mesure;S1;397;0
03/01/2016;11h00;93;1.6;18.7;mesure;S1;412;0
03/01/2016;11h15;248;0.6;19;mesure;S3;427;0
03/01/2016;11h30;258;1.5;18.5;mesure;S2;462;0
03/01/2016;11h45;249;0.8;19.2;mesure;S3;397;0
03/01/2016;12h00;280;0.8;20.2;mesure;S3;528;0
03/01/2016;12h15;276;2;20.2;mesure;S2;243;0
03/01/2016;12h30;312;1.1;20.4;mesure;S1;548;0
03/01/2016;12h45;298;2.8;19.9;mesure;S1;370;0
03/01/2016;13h00;287;2.4;18.8;mesure;S2;349;0
03/01/2016;13h15;297;3;19.3;mesure;S1;383;0
03/01/2016;13h30;285;3.2;19.7;mesure;S2;476;0
03/01/2016;13h45;290;3.5;20.1;mesure;S2;410;0
03/01/2016;14h00;292;4.7;20.1;mesure;S1;508;0
03/01/2016;14h15;299;4.8;20.5;mesure;S1;429;0
03/01/2016;14h30;296;4.9;20.4;mesure;S1;339;0
03/01/2016;14h45;296;5;20.4;mesure;S1;391;0
03/01/2016;15h00;298;5.5;20;mesure;S1;348;0
03/01/2016;15h15;298;4.7;19.9;mesure;S1;271;0
03/01/2016;15h30;301;4.3;19.7;mesure;S1;212;0
03/01/2016;15h45;301;4.1;19.7;mesure;S1;145;0
03/01/2016;16h00;294;3.8;19.4;mesure;S1;157;0
03/01/2016;16h15;294;3.2;19.3;mesure;S1;173;0
03/01/2016;16h30;289;3.1;19.5;mesure;S2;144;0
03/01/2016;16h45;293;3.5;19.1;mesure;S1;136;0
03/01/2016;17h00;298;3.2;19;mesure;S1;60;0
03/01/2016;17h15;303;3.2;18.7;mesure;S1;28;0
03/01/2016;17h30;314;3.1;18.5;mesure;S1;21;0
03/01/2016;17h45;340;2.8;18.4;mesure;S1;13;2.4
03/01/2016;18h00;328;1.9;18.5;mesure;S1;5;0
03/01/2016;18h15;339;2.9;18;mesure;S1;0;2.4
03/01/2016;18h30;335;2.6;17.9;mesure;S1;0;0
03/01/2016;18h45;329;2.9;18.1;mesure;S1;0;0
03/01/2016;19h00;321;2.4;18;mesure;S1;0;0
03/01/2016;19h15;323;3.2;17.8;mesure;S1;0;0
03/01/2016;19h30;324;3.1;17.7;mesure;S1;0;0
03/01/2016;19h45;318;2.5;17.5;mesure;S1;0;0
03/01/2016;20h00;345;1.8;17.4;mesure;S1;0;0
03/01/2016;20h15;72;1;16.9;mesure;S2;0;0
03/01/2016;20h30;57;1.6;16.8;mesure;S1;0;0
03/01/2016;20h45;68;1.8;16.4;mesure;S1;0;0
03/01/2016;21h00;54;1.7;16.3;mesure;S1;0;0
03/01/2016;21h15;19;2;16.5;mesure;S1;0;0
03/01/2016;21h30;63;1.3;16;mesure;S1;0;0
03/01/2016;21h45;88;1.8;15.2;mesure;S1;0;0
03/01/2016;22h00;61;1.7;15.1;mesure;S1;0;0
03/01/2016;22h15;89;1.7;14.9;mesure;S1;0;0
03/01/2016;22h30;76;1.8;15.1;mesure;S1;0;0
03/01/2016;22h45;80;2;15.2;mesure;S1;0;0
03/01/2016;23h00;91;2;15.2;mesure;S1;0;0
03/01/2016;23h15;100;2.6;14.7;mesure;S1;0;0
03/01/2016;23h30;97;2.9;14.8;mesure;S1;0;0
03/01/2016;23h45;98;3;14.7;mesure;S1;0;0
04/01/2016;00h00;87;2.7;14.5;mesure;S1;0;0
04/01/2016;00h15;86;2.7;14;mesure;S1;0;0
04/01/2016;00h30;86;2.6;14;mesure;S1;0;0
04/01/2016;00h45;90;2.7;13.8;mesure;S1;0;0
04/01/2016;01h00;88;2.9;13.6;mesure;S1;0;0
04/01/2016;01h15;91;2.4;13.4;mesure;S1;0;4.8
04/01/2016;01h30;85;2.3;13.5;mesure;S1;0;0
04/01/2016;01h45;98;2.4;13.2;mesure;S1;0;0
04/01/2016;02h00;87;3;12.9;mesure;S1;0;0
04/01/2016;02h15;90;2.8;12.8;mesure;S1;0;0
04/01/2016;02h30;88;2.6;13;mesure;S1;0;0
04/01/2016;02h45;78;2.6;12.8;mesure;S1;0;0
04/01/2016;03h00;89;2.7;12.8;mesure;S1;0;0
04/01/2016;03h15;90;2.9;12.5;mesure;S1;0;0
04/01/2016;03h30;86;2.7;12.5;mesure;S1;0;0
04/01/2016;03h45;88;2.7;12.6;mesure;S1;0;0
04/01/2016;04h00;86;2.6;12.6;mesure;S1;0;0
04/01/2016;04h15;89;2.2;12.5;mesure;S1;0;0
04/01/2016;04h30;84;2.2;12.5;mesure;S1;0;0
04/01/2016;04h45;89;2.5;12.4;mesure;S1;0;0
04/01/2016;05h00;94;2.6;12.5;mesure;S1;0;0
04/01/2016;05h15;103;2.3;12.7;mesure;S1;0;0
04/01/2016;05h30;96;2.5;13.1;mesure;S1;0;0
04/01/2016;05h45;90;2.2;13.4;mesure;S1;0;0
04/01/2016;06h00;98;2.2;13.5;mesure;S1;0;0
04/01/2016;06h15;88;2.4;13.7;mesure;S1;0;0
04/01/2016;06h30;90;2.1;13.7;mesure;S1;0;0
04/01/2016;06h45;98;2.3;13.8;mesure;S1;0;0
04/01/2016;07h00;103;2.6;13.9;mesure;S1;0;0
04/01/2016;07h15;101;3.1;14.3;mesure;S1;0;0
04/01/2016;07h30;93;2.3;14.8;mesure;S1;0;0
04/01/2016;07h45;106;2.4;15.5;mesure;S1;2;0
04/01/2016;08h00;108;0.7;15.8;mesure;S2;5;0
04/01/2016;08h15;163;1.2;16.1;mesure;S2;10;2.4
04/01/2016;08h30;134;1.3;16.2;mesure;S2;21;0
04/01/2016;08h45;143;3.3;16.5;mesure;S2;25;0
